,city,number,update_time
0,cd, 39207 ,2018-05-16
1,cq, 12364 ,2018-05-16
2,bj, 37086 ,2018-05-16
3,sz, 27326 ,2018-05-16
4,sh, 75918 ,2018-05-16
5,hz, 11571 ,2018-05-16
6,gz, 20506 ,2018-05-16
7,cd, 39035 ,2018-05-17
8,cq, 12258 ,2018-05-17
9,bj, 37362 ,2018-05-17
10,sz, 27438 ,2018-05-17
11,sh, 76074 ,2018-05-17
12,hz, 11648 ,2018-05-17
13,gz, 20560 ,2018-05-17
14,cd, 38945 ,2018-05-18
15,cq, 12131 ,2018-05-18
16,bj, 37869 ,2018-05-18
17,sz, 27640 ,2018-05-18
18,sh, 75897 ,2018-05-18
19,hz, 11737 ,2018-05-18
20,gz, 20576 ,2018-05-18
21,cd, 39035 ,2018-05-19
22,cq, 12077 ,2018-05-19
23,bj, 37802 ,2018-05-19
24,sz, 27606 ,2018-05-19
25,sh, 75893 ,2018-05-19
26,hz, 11689 ,2018-05-19
27,gz, 20577 ,2018-05-19
28,cd, 39205 ,2018-05-20
29,cq, 11788 ,2018-05-20
30,bj, 37523 ,2018-05-20
31,sz, 27509 ,2018-05-20
32,sh, 75981 ,2018-05-20
33,hz, 11594 ,2018-05-20
34,gz, 20684 ,2018-05-20
35,cd, 39197 ,2018-05-21
36,cq, 11733 ,2018-05-21
37,bj, 37506 ,2018-05-21
38,sz, 27464 ,2018-05-21
39,sh, 75659 ,2018-05-21
40,hz, 11560 ,2018-05-21
41,gz, 20721 ,2018-05-21
42,cd, 39243 ,2018-05-22
43,cq, 11676 ,2018-05-22
44,bj, 37501 ,2018-05-22
45,sz, 27447 ,2018-05-22
46,sh, 75434 ,2018-05-22
47,hz, 11537 ,2018-05-22
48,gz, 20684 ,2018-05-22
49,cd, 39560 ,2018-05-24
50,cq, 11758 ,2018-05-24
51,bj, 37767 ,2018-05-24
52,sz, 26914 ,2018-05-24
53,sh, 75531 ,2018-05-24
54,hz, 11473 ,2018-05-24
55,gz, 20755 ,2018-05-24
56,cd, 39724 ,2018-05-25
57,cq, 11732 ,2018-05-25
58,bj, 37926 ,2018-05-25
59,sz, 27110 ,2018-05-25
60,sh, 75454 ,2018-05-25
61,hz, 11565 ,2018-05-25
62,gz, 20761 ,2018-05-25
63,cd, 39851 ,2018-05-26
64,cq, 11712 ,2018-05-26
65,bj, 38162 ,2018-05-26
66,sz, 26942 ,2018-05-26
67,sh, 75562 ,2018-05-26
